City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Tawala,PH,78.76,overcast clouds,9.5542,123.7696,Panglao Regents Park Resort
10,Forio,IT,83.82,few clouds,40.7342,13.8646,Hotel Terme Providence
11,Bethel,US,76.03,mist,41.3712,-73.414,Courtyard by Marriott Danbury
25,Faanui,PF,76.6,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
29,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
30,Veere,NL,75.2,few clouds,51.5483,3.6667,Hof Christina Hoevehotel
33,Aktau,KZ,79.38,clear sky,43.65,51.2,Silk Way Hotel
36,Atuona,PF,77.68,broken clouds,-9.8,-139.0333,Villa Enata
39,Chapais,CA,80.38,broken clouds,49.7834,-74.8492,Hôtel Opémiska
40,Butaritari,KI,82.6,few clouds,3.0707,172.7902,Isles Sunset Lodge
43,Tutoia,BR,79.02,scattered clouds,-2.7619,-42.2744,Pousada Guará's
44,Margate,GB,75.9,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
48,Chenghai,CN,82.31,broken clouds,23.4632,116.768,Guangdong Hotel
54,Lazaro Cardenas,MX,83.89,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
55,Singaraja,ID,79.23,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
56,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
58,Lhokseumawe,ID,79.66,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
61,Georgetown,MY,82.33,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
63,Maningrida,AU,76.55,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
69,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
71,Guerrero Negro,MX,78.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
72,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
75,Tautira,PF,75.67,light rain,-17.7333,-149.15,Pension Oaoa
77,Bengkulu,ID,75.6,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
82,Saint-Junien,FR,82.85,clear sky,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
84,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
85,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
92,High Level,CA,78.91,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
97,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
98,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
99,Carros,FR,81.3,clear sky,43.7894,7.184,Lou Castelet Restaurant
101,Katsuura,JP,80.62,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
107,Muroto,JP,81.03,light rain,33.2833,134.15,Oota Ryokan
112,Obregon,NI,82.49,overcast clouds,11.9566,-85.9636,Hostal Casa Aryen
114,Sinnamary,GF,78.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
115,Sao Filipe,CV,76.5,few clouds,14.8961,-24.4956,Hotel Xaguate
116,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
118,Shingu,JP,79.9,light rain,33.7333,135.9833,Shingu UI Hotel
119,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
121,Pacific Grove,US,79.56,clear sky,36.6177,-121.9166,Lovers Point Inn
128,Sao Jose Da Coroa Grande,BR,75.24,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
134,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
138,Sungairaya,ID,78.6,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
143,Petatlan,MX,84.94,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
145,Labuhan,ID,77.04,broken clouds,-6.8844,112.2051,DoubleFAG
150,Tambun,ID,79.03,broken clouds,-6.2641,107.0712,Kost Putra Metland Tambun
156,Williamsport,US,76.26,few clouds,41.2412,-77.0011,Hampton Inn Williamsport-Downtown
160,Manaure,CO,82.92,broken clouds,11.7751,-72.4445,Hotel Palaaima
161,Jacqueville,CI,76.62,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
164,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
165,Amalapuram,IN,77.56,overcast clouds,16.5833,82.0167,swayamprabha service apartments
169,Bubaque,GW,79.3,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
171,Kudahuvadhoo,MV,81.61,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
176,Clearwater,US,89.22,scattered clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
181,Conceicao Do Araguaia,BR,75.97,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
185,Maumere,ID,77.68,broken clouds,-8.6199,122.2111,Sylvia Hotel
186,Voh,NC,79.02,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
189,Almeirim,BR,76.8,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
190,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
193,Banda Aceh,ID,78.84,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
197,Demba,CD,76.6,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
198,Mersin,TR,78.75,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
203,Touros,BR,75.58,light rain,-5.1989,-35.4608,INN NEW HORIZON
204,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
206,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
208,Ternate,ID,80.33,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
213,Kandrian,PG,84.18,overcast clouds,-6.2167,149.55,Kandrian Station
214,Kavaratti,IN,80.22,overcast clouds,10.5669,72.642,Green leaf
215,Ipixuna,BR,75.67,light rain,-1.7625,-48.8043,Chalé do Mato
220,Lompoc,US,80.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
222,Tabuk,PH,79.79,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
223,Kendari,ID,76.75,overcast clouds,-3.945,122.4989,Hotel Wixel
224,North Bend,US,81.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
225,Tampakan,PH,75.63,overcast clouds,6.4442,124.9264,Green Palm Resort
227,Namatanai,PG,84.54,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
228,Cobija,BO,76.17,clear sky,-11.0267,-68.7692,Hotel Obelisco
229,Kushima,JP,83.75,broken clouds,31.4583,131.2333,Hanaoka
230,Cao Bang,VN,80.11,overcast clouds,22.6667,106.25,khách sạn 88
231,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
235,Carora,VE,80.38,scattered clouds,10.1755,-70.0827,Hotel Irpinia
236,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
238,Fethiye,TR,75.07,clear sky,36.6217,29.1164,Club & Hotel Letoonia
243,Dawei,MM,78.03,broken clouds,14.0833,98.2,Hotel Dawei
245,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
247,Hasaki,JP,86.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
249,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
250,Orbetello,IT,77.02,scattered clouds,42.4408,11.2196,Argentario Golf & Wellness Resort
253,Shikarpur,PK,84.09,clear sky,27.9571,68.6379,TSK™ Hotel
254,Humaita,BR,79.29,clear sky,-7.5061,-63.0208,Corrêa Hotel
255,Sur,OM,84.07,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
259,Le Moule,GP,79.18,overcast clouds,16.3332,-61.3473,Lakaz Hananou
261,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
264,Tshikapa,CD,77.9,broken clouds,-6.4167,20.8,Tatem beach
267,Gangapur,IN,88.95,overcast clouds,26.4833,76.7167,OYO 45271 Hotel Haveli
275,Todos Santos,MX,84.43,broken clouds,23.45,-110.2167,Hotel California Todos Santos
281,Sumenep,ID,79.29,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
285,Iranshahr,IR,89.49,overcast clouds,27.2025,60.6848,نیک سرشت
287,Ahraura,IN,82.4,broken clouds,25.0167,83.0167,Rakesh
289,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
290,Djambala,CG,75.38,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
297,Assiniboia,CA,80.42,moderate rain,49.6334,-105.9845,Canalta Hotel Assiniboia
298,Nobeoka,JP,83.98,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
301,Gainesville,US,83.82,clear sky,29.6516,-82.3248,Stayable Select
302,San Carlos Del Zulia,VE,80.4,overcast clouds,9.0,-71.9135,Hotel El Manantial
303,Estelle,US,89.01,overcast clouds,29.8458,-90.1067,Ohio
304,Nuevo Progreso,MX,89.55,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
307,Manggar,ID,82.2,broken clouds,-2.8833,108.2667,Guest Hotel
314,Hambantota,LK,78.17,broken clouds,6.1241,81.1185,Bungalow 63
315,Boa Vista,BR,78.78,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
320,Korla,CN,80.08,clear sky,41.7597,86.1469,Gulisitan Hotel
327,South Venice,US,89.15,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
329,Marsa Matruh,EG,76.89,clear sky,31.3525,27.2453,Beau Site
332,Cockburn Town,TC,81.68,clear sky,21.4612,-71.1419,Osprey Beach Hotel
340,Buala,SB,85.14,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
341,Dong Hoi,VN,84.04,overcast clouds,17.4833,106.6,Nam Long Hotel
346,Jalu,LY,81.48,clear sky,29.0331,21.5482,صاحبة الفخامة
352,Tezu,IN,75.6,overcast clouds,27.9167,96.1667,Circuit House
353,Vanimo,PG,78.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
356,Lanxi,CN,79.77,overcast clouds,29.2195,119.477,Shangri-La Hotel
358,Flin Flon,CA,84.04,smoke,54.7682,-101.865,Victoria Inn Flin Flon
363,Santo Antonio Do Ica,BR,76.48,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
366,Hobyo,SO,75.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
370,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
371,Sorong,ID,78.6,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
374,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
384,Helena,US,75.81,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
