,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,55.9,82,0,8.01,clear sky
1,Busselton,AU,-33.65,115.3333,51.26,84,0,7.67,clear sky
2,Tawala,PH,9.5542,123.7696,78.76,84,100,12.39,overcast clouds
3,Castro,BR,-24.7911,-50.0119,56.8,99,100,4.16,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,45.48,94,100,2.1,light rain
5,Punta Arenas,CL,-53.15,-70.9167,39.31,87,75,31.07,light rain
6,Longido,TZ,-2.7333,36.6833,57.97,84,56,7.45,broken clouds
7,Padang,ID,-0.9492,100.3543,71.65,73,39,4.05,scattered clouds
8,Ancud,CL,-41.8697,-73.8203,42.22,77,12,8.03,few clouds
9,New Norfolk,AU,-42.7826,147.0587,44.92,76,71,2.75,broken clouds
10,Forio,IT,40.7342,13.8646,83.82,74,15,1.01,few clouds
11,Bethel,US,41.3712,-73.414,76.03,93,75,9.22,mist
12,Nanortalik,GL,60.1432,-45.2371,46.96,80,72,6.62,broken clouds
13,Montepuez,MZ,-13.1256,38.9997,60.42,97,41,4.14,scattered clouds
14,Rikitea,PF,-23.1203,-134.9692,74.71,74,13,10.74,few clouds
15,San Juan,AR,-31.5375,-68.5364,48.27,46,0,5.26,clear sky
16,Marystown,CA,47.1666,-55.1483,63.86,100,93,1.01,overcast clouds
17,Talnakh,RU,69.4865,88.3972,61.21,51,81,1.23,broken clouds
18,Grenaa,DK,56.4158,10.8783,62.82,87,67,10.51,broken clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,93.61,66,20,11.5,few clouds
20,East London,ZA,-33.0153,27.9116,68.81,35,20,10.0,few clouds
21,Barra Do Garcas,BR,-15.89,-52.2567,71.22,28,0,0.65,clear sky
22,Ushuaia,AR,-54.8,-68.3,37.06,87,75,10.36,light rain
23,Albany,US,42.6001,-73.9662,76.73,88,100,1.99,overcast clouds
24,Jamestown,US,42.097,-79.2353,74.95,83,100,11.5,overcast clouds
25,Faanui,PF,-16.4833,-151.75,76.6,68,55,5.93,broken clouds
26,Dali,CN,25.7,100.1833,65.52,90,100,3.98,overcast clouds
27,Valley,US,45.1277,-116.1262,72.21,17,0,7.23,clear sky
28,Yarada,IN,17.65,83.2667,79.12,94,40,2.3,mist
29,Avarua,CK,-21.2078,-159.775,75.25,73,75,8.05,broken clouds
30,Veere,NL,51.5483,3.6667,75.2,63,19,11.5,few clouds
31,Dikson,RU,73.5069,80.5464,43.88,81,83,13.69,broken clouds
32,Airai,TL,-8.9266,125.4092,61.11,46,90,3.11,overcast clouds
33,Aktau,KZ,43.65,51.2,79.38,49,0,9.66,clear sky
34,Hobart,AU,-42.8794,147.3294,45.27,84,75,8.05,broken clouds
35,Bluff,NZ,-46.6,168.3333,45.81,73,100,15.52,light rain
36,Atuona,PF,-9.8,-139.0333,77.68,67,68,14.88,broken clouds
37,Maple Creek,CA,49.9168,-109.4848,68.41,68,83,11.5,broken clouds
38,Qandala,SO,11.472,49.8728,87.48,52,83,11.83,broken clouds
39,Chapais,CA,49.7834,-74.8492,80.38,55,78,5.48,broken clouds
40,Butaritari,KI,3.0707,172.7902,82.6,74,12,19.46,few clouds
41,El Dorado,US,38.7666,-120.5177,94.8,20,5,1.99,clear sky
42,San Vicente,AR,-26.6167,-54.1333,54.48,99,100,1.59,moderate rain
43,Tutoia,BR,-2.7619,-42.2744,79.02,79,43,11.56,scattered clouds
44,Margate,GB,51.3813,1.3862,75.9,65,32,1.01,scattered clouds
45,Gijon,ES,43.5357,-5.6615,69.26,80,22,4.0,few clouds
46,Hermanus,ZA,-34.4187,19.2345,53.8,83,98,2.82,overcast clouds
47,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,10.36,broken clouds
48,Chenghai,CN,23.4632,116.768,82.31,89,75,4.47,broken clouds
49,Port Lincoln,AU,-34.7333,135.8667,53.85,62,100,12.59,overcast clouds
50,Mirabad,AF,30.4362,61.8383,91.49,12,0,14.32,clear sky
51,Valenca,BR,-13.3703,-39.0731,68.68,96,65,3.76,light rain
52,Luderitz,NA,-26.6481,15.1594,56.91,85,1,10.89,clear sky
53,Bantry,IE,51.6833,-9.45,66.78,81,100,4.16,overcast clouds
54,Lazaro Cardenas,MX,17.9583,-102.2,83.89,73,100,6.76,overcast clouds
55,Singaraja,ID,-8.112,115.0882,79.23,75,95,4.88,overcast clouds
56,Vaini,TO,-21.2,-175.2,78.96,83,40,12.66,scattered clouds
57,Beroroha,MG,-21.6667,45.1667,65.43,67,0,8.59,clear sky
58,Lhokseumawe,ID,5.1801,97.1507,79.66,85,98,9.8,overcast clouds
59,Rabo De Peixe,PT,37.8,-25.5833,71.11,88,75,6.91,broken clouds
60,College,US,64.8569,-147.8028,62.58,69,75,16.11,broken clouds
61,Georgetown,MY,5.4112,100.3354,82.33,90,40,10.36,thunderstorm with light rain
62,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,88,5.99,overcast clouds
63,Maningrida,AU,-12.0667,134.2667,76.55,57,100,10.67,overcast clouds
64,Barrow,US,71.2906,-156.7887,42.82,81,100,19.57,overcast clouds
65,Pesaro,IT,43.9036,12.8903,74.21,59,0,4.99,clear sky
66,Yuty,PY,-26.6,-56.25,57.31,97,98,2.01,overcast clouds
67,Sayyan,YE,15.1718,44.3244,66.11,39,97,4.56,overcast clouds
68,Beringovskiy,RU,63.05,179.3167,55.04,50,8,22.24,clear sky
69,Isangel,VU,-19.55,169.2667,80.71,83,75,2.3,broken clouds
70,Qaanaaq,GL,77.484,-69.3632,44.13,63,0,4.92,clear sky
71,Guerrero Negro,MX,27.9769,-114.0611,78.17,56,4,15.05,clear sky
72,San Cristobal,VE,7.7669,-72.225,75.38,92,100,1.57,overcast clouds
73,Tasiilaq,GL,65.6145,-37.6368,41.16,85,46,0.63,scattered clouds
74,Rassvet,RU,46.8333,40.75,59.41,66,0,2.24,clear sky
75,Tautira,PF,-17.7333,-149.15,75.67,73,14,6.08,light rain
76,Saldanha,ZA,-33.0117,17.9442,50.05,79,0,10.49,clear sky
77,Bengkulu,ID,-3.8004,102.2655,75.6,86,3,3.58,clear sky
78,Shiyan,CN,32.6475,110.7781,72.3,87,100,3.76,overcast clouds
79,Port Hedland,AU,-20.3167,118.5667,55.45,88,3,9.22,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,88,20,3.44,few clouds
81,Jiuquan,CN,39.7432,98.5174,71.56,30,11,1.3,few clouds
82,Saint-Junien,FR,45.8833,0.9,82.85,42,0,4.5,clear sky
